Wk_Year,Channel,Channel2,LF_Mall,Normal.Rollover.Class,Rep.brands,Brand_name,Sales.w.Price,Sales.Actual,Qty
201901,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,15794.427272727273,8104.679090909091,738.0
201901,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,193350.54545454547,119439.84363636363,6995.0
201901,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,2475.8909090909083,1356.2163636363634,109.0
201901,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,41916.40909090909,25968.23909090909,1599.0
201901,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,754.0454545454538,455.56570000000005,21.0
201901,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,13062.318181818184,8446.356681818184,392.0
201901,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,-50.727272727272705,-47.3727272727273,-2.0
201901,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,84516.86363636365,62815.363636363654,2445.0
201901,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,43317.18181818182,20981.927272727273,1169.0
201901,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,26446.954545454544,19452.205454545456,1284.0
201902,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,31005.518181818185,15264.356363636363,1196.0
201902,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,45835.36363636364,27136.44454545455,1562.0
201902,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,5603.227272727275,2829.3518181818176,229.0
201902,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,6979.227272727272,4216.857272727273,267.0
201902,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1094.2727272727268,632.4927545454544,14.0
201902,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,10890.181818181814,7185.748227272728,355.0
201902,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,-20.272727272727302,-23.1454545454546,1.0
201902,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,33965.54545454545,25021.990909090906,1039.0
201902,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,34348.9090909091,17414.75072727273,1163.0
201902,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,8888.409090909088,6630.927272727274,354.0
201903,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,30336.95454545455,14264.953090909092,1210.0
201903,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,34362.818181818184,20409.63727272727,1457.0
201903,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,5215.363636363637,2580.246909090909,223.0
201903,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,8574.90909090909,5259.379090909092,333.0
201903,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,607.6363636363639,336.35000000000014,16.0
201903,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,7340.954545454546,4805.752527272728,309.0
201903,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,255.54545454545473,178.8818181818179,0.0
201903,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,34707.63636363637,25626.525454545455,1061.0
201903,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,15635.599999999999,10261.369090909093,864.0
201903,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,4018.7727272727266,2860.094545454546,311.0
201904,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,43563.74545454546,19363.22,1603.0
201904,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,26753.181818181823,16354.955454545454,1158.0
201904,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,8434.68181818182,3784.3463636363626,295.0
201904,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,6438.681818181819,3957.5195454545465,310.0
201904,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1226.6363636363646,715.164545454545,19.0
201904,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,8809.0,5616.278654545456,383.0
201904,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,-108.8181818181818,-98.5727272727274,-3.0
201904,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,22488.272727272728,16350.469090909091,1174.0
201904,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,43833.53636363637,20010.53990909091,2110.0
201904,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,16356.363636363641,8847.274545454546,939.0
201905,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,47921.3909090909,20029.449090909093,1672.0
201905,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,29041.318181818184,17165.264545454545,1243.0
201905,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,7913.49090909091,3449.0399999999995,332.0
201905,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,5101.818181818181,3117.539090909091,221.0
201905,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,959.8636363636364,509.1854636363634,25.0
201905,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,8691.545454545454,5462.6973,649.0
201905,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,-221.27272727272754,-139.7272727272725,2.0
201905,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,19975.999999999996,14433.063636363639,1050.0
201905,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,25482.427272727273,12432.156,1087.0
201905,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,363.1818181818183,467.18909090909114,65.0
201906,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,60360.64545454546,24472.142727272727,2277.0
201906,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,33146.545454545456,18932.601818181818,1335.0
201906,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,6560.772727272727,2678.1218181818176,271.0
201906,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,4165.181818181818,2427.551363636364,185.0
201906,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,797.4545454545455,382.8601272727273,18.0
201906,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,4635.272727272727,3076.115918181818,237.0
201906,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,15587.545454545454,11386.940909090908,616.0
201906,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,47575.07272727273,23261.65263636364,1716.0
201906,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,2490.0909090909095,1879.0918181818188,125.0
201907,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,47248.56363636364,18719.323727272727,2052.0
201907,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,26005.954545454544,15984.406454545457,1066.0
201907,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,9390.636363636364,3937.3460909090913,439.0
201907,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,6528.636363636364,3960.7272727272734,263.0
201907,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1613.3636363636365,875.0956181818175,35.0
201907,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,5756.68181818182,3713.1990818181816,283.0
201907,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,91.45454545454551,88.28181818181831,4.0
201907,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,16896.18181818182,12300.673636363637,689.0
201907,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,76504.43636363639,37062.50454545455,2760.0
201907,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,6242.045454545453,4657.373636363636,273.0
201908,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,50029.63636363637,20369.361818181816,1984.0
201908,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,19305.045454545456,12311.771818181816,829.0
201908,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,9383.618181818181,3938.013636363636,355.0
201908,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,5431.045454545457,3430.278181818183,212.0
201908,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1812.0909090909083,876.36,46.0
201908,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,8597.590909090912,5566.887,383.0
201908,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,21889.818181818184,16213.17090909091,856.0
201908,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,42601.19090909092,20434.124363636365,1691.0
201908,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,2847.6818181818176,2124.229090909091,200.0
201909,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,48621.19090909092,20852.326363636366,2060.0
201909,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,25524.590909090915,16788.40272727273,1180.0
201909,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,7255.272727272729,3216.4399999999996,352.0
201909,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,4802.818181818183,3174.7599999999998,217.0
201909,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1200.409090909091,634.204909090909,46.0
201909,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,10457.818181818184,7042.691954545455,571.0
201909,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,22883.045454545456,17064.045454545456,901.0
201909,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,46240.93636363636,23923.874363636365,1908.0
201909,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,1742.7727272727275,1333.4900000000005,98.0
201910,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,40631.38181818183,17548.485454545455,1942.0
201910,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,21174.636363636368,15714.166363636366,1175.0
201910,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,8162.381818181821,3762.543636363637,383.0
201910,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,4093.863636363638,3041.4145454545455,247.0
201910,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1827.3636363636365,1008.5000090909092,87.0
201910,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,6841.681818181819,4646.809681818182,329.0
201910,백화점-온라인,Dep.Store,0.0,이월,HS,헤지스여성,816.3636363636366,594.7427272727272,49.0
201910,백화점-온라인,Dep.Store,0.0,정상,HS,헤지스여성,20634.954545454548,15622.17181818182,821.0
201910,제휴몰,Affiliated,0.0,이월,HS,헤지스여성,80506.31818181818,43359.54363636365,3522.0
201910,제휴몰,Affiliated,0.0,정상,HS,헤지스여성,4563.954545454547,3633.394545454547,258.0
201911,LF몰_모바일,LF_Mall,1.0,이월,HS,헤지스여성,50054.09090909091,22891.37090909091,2226.0
201911,LF몰_모바일,LF_Mall,1.0,정상,HS,헤지스여성,17724.181818181816,13138.320909090911,989.0
201911,LF몰_웹,LF_Mall,1.0,이월,HS,헤지스여성,9376.618181818183,4383.722727272728,417.0
201911,LF몰_웹,LF_Mall,1.0,정상,HS,헤지스여성,3840.363636363637,2872.1118181818183,219.0
201911,LF몰스토어,LF_Mall,1.0,이월,HS,헤지스여성,1530.7272727272725,803.7727181818179,51.0
201911,LF몰스토어,LF_Mall,1.0,정상,HS,헤지스여성,4210.59090909091,3024.5570000000007,201.0
